# Program:featureCounts v2.0.2; Command:"featureCounts" "-T" "10" "-a" "/scratch_tmp/grp/msc_appbio/group10/ref_genome/GCF_000146045.2/genomic.gtf" "-o" "/scratch_tmp/grp/msc_appbio/group10/outputs/featureCounts/all_samples_gene_counts.txt" "-t" "exon" "-g" "gene_id" "-p" "-B" "--countReadPairs" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318268_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318269_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318270_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318271_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318268_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318269_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318270_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318271_Aligned.sortedByCoord.out.bam
YNCD0032C	NC_001136.10	1492477	1493026	-	550	363	372	351	523
YDR528W	NC_001136.10	1494586	1495857	+	1272	818	982	1223	1448
YDR529C	NC_001136.10	1496165	1496548	-	384	14355	13811	15532	26372
YDR530C	NC_001136.10	1496791	1497768	-	978	1817	2155	1414	1492
YDR531W	NC_001136.10	1498232	1499335	+	1104	3708	3491	3933	4464
YDR532C	NC_001136.10	1499396	1500553	-	1158	1373	1310	1298	1508
YDR533C	NC_001136.10	1501447	1502160	-	714	13180	13626	12445	11771
YDR534C	NC_001136.10	1503314	1504900	-	1587	941	927	890	782
YDR536W	NC_001136.10	1508005	1509714	+	1710	7258	5336	9735	11011
YDR538W	NC_001136.10	1510902	1511630	+	729	993	1075	1083	968
YDR539W	NC_001136.10	1512094	1513605	+	1512	895	1174	888	1230
YDR540C	NC_001136.10	1517136	1517675	-	540	462	605	292	382
YDR541C	NC_001136.10	1519664	1520698	-	1035	886	1046	1067	1129
YDR542W	NC_001136.10	1523249	1523611	+	363	0	0	4	0
YDR545W	NC_001136.10	1526321	1531711	+	5391	9	9	6	2
YEL077C	NC_001137.3	264	4097	-	3834	1420	1580	1497	1132
YEL076C-A	NC_001137.3;NC_001137.3	4185;4602	4322;5114	-;-	651	0	0	0	1
YEL076C	NC_001137.3	4464	5114	-	651	7	8	1	3
YEL075C	NC_001137.3	5345	5713	-	369	0	0	0	1
YEL073C	NC_001137.3	7230	7553	-	324	822	937	722	720
YEL072W	NC_001137.3	13720	14415	+	696	563	643	362	415
YEL071W	NC_001137.3	16355	17845	+	1491	6491	8261	4082	6452
YEL070W	NC_001137.3	19589	21097	+	1509	3887	3894	727	604
YEL069C	NC_001137.3	21537	23231	-	1695	908	844	85	80
YEL068C	NC_001137.3	25646	25978	-	333	1087	1180	1086	1130
YEL067C	NC_001137.3	26189	26776	-	588	436	398	287	311
YEL066W	NC_001137.3	26721	27206	+	486	1450	1526	1308	2088
YEL065W	NC_001137.3	27657	29543	+	1887	2360	1963	2242	2018
YEL064C	NC_001137.3	29797	31239	-	1443	1585	1625	1574	1973
YEL063C	NC_001137.3	31694	33466	-	1773	2743	2823	2823	2684
YEL062W	NC_001137.3	34407	36254	+	1848	1346	1356	1328	1429
YEL061C	NC_001137.3	36535	39537	-	3003	1907	1813	1935	2172
YEL060C	NC_001137.3	40046	41953	-	1908	53463	56220	56931	38402
YEL059C-A	NC_001137.3	42400	42624	-	225	1091	1224	1110	1152
YEL059W	NC_001137.3	42652	42960	+	309	237	336	188	219
YEL058W	NC_001137.3	43252	44925	+	1674	6537	7389	6143	6687
YEL057C	NC_001137.3	45020	45721	-	702	1186	999	1312	1175
YEL056W	NC_001137.3	47168	48373	+	1206	2179	2256	1911	1807
YEL055C	NC_001137.3	48471	51539	-	3069	2639	2888	2535	2479
YNCE0001C	NC_001137.3	52150	52320	-	171	9	25	22	34
YEL054C	NC_001137.3	52721	53218	-	498	7625	9210	10115	14957
YEL053C	NC_001137.3	53901	56102	-	2202	1585	1607	1480	1332
YEL052W	NC_001137.3	56571	58100	+	1530	3074	3243	2871	3084
YEL051W	NC_001137.3	58378	59148	+	771	7433	6796	7186	9956
YEL050C	NC_001137.3	59670	60851	-	1182	3746	4275	3401	5346
YNCE0002W	NC_001137.3	61352	61433	+	82	103	94	62	106
YNCE0003W	NC_001137.3	61699	61789	+	91	4	10	8	19
YNCE0004C	NC_001137.3	61890	61960	-	71	7	6	2	1
YEL049W	NC_001137.3	63728	64090	+	363	671	658	606	515
YEL048C	NC_001137.3	64709	65167	-	459	370	404	352	542
YEL047C	NC_001137.3	65385	66797	-	1413	1736	1613	2220	2048
YEL046C	NC_001137.3	67629	68792	-	1164	10817	12009	9286	8169
YEL044W	NC_001137.3	69757	70257	+	501	3814	3743	3369	3766
YEL043W	NC_001137.3	70478	73348	+	2871	4067	4257	4612	3897
YEL042W	NC_001137.3	73771	75327	+	1557	5052	4970	4710	5856
YEL041W	NC_001137.3	75944	77431	+	1488	3295	3675	3181	3106
YEL040W	NC_001137.3	78053	79456	+	1404	1060	1563	2525	4391
YEL039C	NC_001137.3	79636	79977	-	342	4645	3642	3092	2674
YEL038W	NC_001137.3	80462	81145	+	684	1118	1096	1372	1225
YEL037C	NC_001137.3	81407	82603	-	1197	10413	11137	11767	10161
YEL036C	NC_001137.3	83050	84552	-	1503	6951	6510	5377	5073
YEL035C	NC_001137.3	85045	85545	-	501	271	309	270	255
YEL034W	NC_001137.3	85676	86149	+	474	40738	44229	43675	52484
YEL033W	NC_001137.3	86179	86598	+	420	6315	6890	8266	10012
YNCE0005W	NC_001137.3	86604	86685	+	82	8	14	4	6
YEL032W	NC_001137.3	86937	89852	+	2916	2063	2201	2622	2748
YEL031W	NC_001137.3	90258	93905	+	3648	13005	14803	12150	13195
YEL030W	NC_001137.3	94644	96578	+	1935	1779	1585	2816	2405
YEL029C	NC_001137.3	96858	97796	-	939	1498	1522	1216	1733
YEL028W	NC_001137.3	98668	99129	+	462	765	822	557	650
YNCE0006W	NC_001137.3	100133	100204	+	72	62	45	33	37
YEL027W	NC_001137.3	100769	101251	+	483	8259	8357	7890	9491
YEL026W	NC_001137.3	101943	102323	+	381	2474	3472	2594	4000
YEL025C	NC_001137.3	102581	106147	-	3567	2409	2721	2571	2671
YEL024W	NC_001137.3	107260	107907	+	648	8743	9450	11147	15798
YEL023C	NC_001137.3	108504	110552	-	2049	1549	1665	1509	1505
YEL022W	NC_001137.3	111421	115800	+	4380	1906	2011	1821	2318
YEL021W	NC_001137.3	116167	116970	+	804	20291	22934	18273	24193
YEL020W-A	NC_001137.3	117211	117474	+	264	7151	6352	6636	14208
YNCE0007C	NC_001137.3	117667	118035	-	369	993	1041	400	459
YEL020C	NC_001137.3	118617	120299	-	1683	4130	4304	3504	3811
YEL019C	NC_001137.3	120498	121301	-	804	734	761	565	486
YEL018W	NC_001137.3	121471	122310	+	840	1958	2028	1616	1777
YEL017C-A	NC_001137.3	122798	122929	-	132	2518	3061	2983	4063
YEL017W	NC_001137.3	123657	124670	+	1014	1093	1109	1316	998
YEL016C	NC_001137.3	124737	126218	-	1482	1312	1386	1205	1355
YEL015W	NC_001137.3	126629	128284	+	1656	3118	3298	3257	3120
YEL014C	NC_001137.3	128303	128608	-	306	86	85	82	105
YEL013W	NC_001137.3	128825	130561	+	1737	3623	3566	3814	3981
YNCE0008C	NC_001137.3	131082	131153	-	72	4	11	7	3
YEL012W	NC_001137.3;NC_001137.3	131772;131900	131776;132551	+;+	657	13240	11985	13569	9720
YEL011W	NC_001137.3	133120	135234	+	2115	27353	26048	30760	20951
YNCE0009C	NC_001137.3	135425	135497	-	73	22	15	20	27
YEL009C-A	NC_001137.3	136371	136778	-	408	111	104	92	71
YNCE0010W	NC_001137.3	138666	138737	+	72	4	0	2	0
YEL009C	NC_001137.3	138918	139763	-	846	48768	57772	55495	61352
YEL008W	NC_001137.3	140512	140892	+	381	291	326	318	317
YEL007W	NC_001137.3	141892	143892	+	2001	2838	3405	3383	2881
YEL006W	NC_001137.3	144327	145334	+	1008	2061	2174	2155	2096
YEL005C	NC_001137.3	145907	146755	-	849	1808	1851	1672	1624
YEL004W	NC_001137.3	146951	147979	+	1029	1239	1188	1179	1208
YEL003W	NC_001137.3;NC_001137.3	148176;148283	148194;148599	+;+	336	6352	5376	4330	6357
YEL002C	NC_001137.3	148722	150014	-	1293	7532	7250	7641	7271
YEL001C	NC_001137.3	150301	150978	-	678	3174	3477	3049	5009
YER001W	NC_001137.3	153520	155808	+	2289	2022	2664	1911	2758
YER002W	NC_001137.3	156803	157498	+	696	8019	9266	5828	6147
YER003C	NC_001137.3;NC_001137.3	157736;159088	158994;159118	-;-	1290	5206	6585	5132	5890
YER004W	NC_001137.3	159580	160275	+	696	30961	30104	34199	24148
YER005W	NC_001137.3	160550	162442	+	1893	1985	2219	1819	2261
YER006W	NC_001137.3	162723	164285	+	1563	4862	5555	4143	4526
YER007W	NC_001137.3	164527	166083	+	1557	1066	1090	825	977
YER007C-A	NC_001137.3;NC_001137.3	166237;166875	166771;166885	-;-	546	3384	3358	2996	3300
YNCE0011C	NC_001137.3	167427	167586	-	160	253	160	218	266
YER008C	NC_001137.3	167808	171818	-	4011	2696	2844	2618	2269
YER009W	NC_001137.3	172115	172492	+	378	6800	6731	6400	10449
YER010C	NC_001137.3	172634	173338	-	705	4639	4308	5467	4968
YER011W	NC_001137.3	175248	176012	+	765	321	321	299	322
YNCE0012W	NC_001137.3	177099	177170	+	72	126	100	75	59
YER012W	NC_001137.3	177835	178431	+	597	9177	9248	9972	10909
YER013W	NC_001137.3	178841	182278	+	3438	1956	2056	1559	1468
YER014W	NC_001137.3	182600	184219	+	1620	2110	2021	2198	1674
YER014C-A	NC_001137.3;NC_001137.3	183731;184678	184169;184700	-;-	462	0	0	0	0
YER015W	NC_001137.3	184541	186775	+	2235	11240	10302	11025	11437
YER016W	NC_001137.3	188277	189311	+	1035	1098	1260	1139	1468
YER017C	NC_001137.3	189503	191788	-	2286	6434	7384	6805	5994
YER018C	NC_001137.3	191959	192624	-	666	1361	1488	1163	1266
YER019W	NC_001137.3	192797	194230	+	1434	1762	2132	1948	2151
YER019C-A	NC_001137.3	194273	194539	-	267	7507	7403	8375	11173
YER020W	NC_001137.3	195168	196517	+	1350	8860	10552	9918	7791
YER021W	NC_001137.3	196948	198519	+	1572	16390	16206	17185	15652
YER022W	NC_001137.3	198812	200875	+	2064	2045	2047	2178	2235
YER023W	NC_001137.3	201076	201936	+	861	4738	5067	5445	5381
YER024W	NC_001137.3	202192	204963	+	2772	19133	17850	29944	27043
YER025W	NC_001137.3	205251	206834	+	1584	8206	8965	8158	8351
YNCE0013W	NC_001137.3	207357	207428	+	72	37	46	31	37
YER026C	NC_001137.3	207644	208474	-	831	8573	8183	7384	8760
YER027C	NC_001137.3	208979	210232	-	1254	2798	2982	2689	2257
YER028C	NC_001137.3	210692	211876	-	1185	638	725	851	675
YER029C	NC_001137.3	212587	213177	-	591	2002	2087	2080	2335
YER030W	NC_001137.3	213437	213898	+	462	16852	14072	15613	22711
YER031C	NC_001137.3	214076	214747	-	672	2738	2711	2894	3251
YER032W	NC_001137.3	215063	217693	+	2631	1334	1385	1238	1167
YER033C	NC_001137.3	218057	221287	-	3231	1430	1607	1506	1341
YER034W	NC_001137.3	221846	222403	+	558	933	903	913	817
YER035W	NC_001137.3	222639	223076	+	438	1947	1911	1695	1410
YER036C	NC_001137.3	223367	225199	-	1833	7292	7988	7394	6950
YER037W	NC_001137.3	225889	226854	+	966	4250	3324	3807	3481
YER038C	NC_001137.3	226858	228252	-	1395	896	887	839	732
YER038W-A	NC_001137.3	228451	228831	+	381	1	1	9	0
YER039C	NC_001137.3	228456	229205	-	750	1016	1052	1094	1073
YER039C-A	NC_001137.3	229263	229481	-	219	585	598	595	506
YER040W	NC_001137.3	229795	231987	+	2193	1669	1669	1742	1395
YER041W	NC_001137.3	232461	234740	+	2280	2196	2256	1795	1546
YER042W	NC_001137.3	234937	235491	+	555	5136	4207	4108	3341
YER043C	NC_001137.3	235770	237119	-	1350	5753	7748	5440	8585
YER044C	NC_001137.3	237570	238016	-	447	4959	3767	4001	5058
YER044C-A	NC_001137.3;NC_001137.3	238460;239712	239623;239774	-;-	1227	99	98	97	128
YER045C	NC_001137.3	240032	241501	-	1470	1730	2108	1164	1353
YER046W	NC_001137.3	243180	243611	+	432	2580	2429	1942	2026
YER047C	NC_001137.3	243810	246503	-	2694	3079	3319	3262	2490
YER048C	NC_001137.3	246982	248157	-	1176	5281	5054	5110	7008
YNCE0014W	NC_001137.3	250286	250357	+	72	25	19	10	13
YER048W-A	NC_001137.3	250718	251002	+	285	5225	4427	4414	7393
YER049W	NC_001137.3	251728	253662	+	1935	2456	2837	1919	2678
YER050C	NC_001137.3	253971	254387	-	417	5887	5550	4659	7204
YER051W	NC_001137.3	254656	256134	+	1479	2177	2506	1993	1873
YER052C	NC_001137.3	256375	257958	-	1584	2144	3220	1699	2086
YER053C	NC_001137.3	258737	259639	-	903	2183	2376	3137	3887
YER053C-A	NC_001137.3	260933	261046	-	114	8334	7044	12136	10208
YER054C	NC_001137.3	262052	263698	-	1647	12106	11704	10492	6660
YER055C	NC_001137.3	264892	265785	-	894	3831	4366	3235	3731
YER056C	NC_001137.3	266512	268113	-	1602	6775	8108	7570	10780
YER056C-A	NC_001137.3;NC_001137.3	269423;270149	269751;270185	-;-	366	6656	7723	8445	14481
YER057C	NC_001137.3	270737	271126	-	390	4081	3991	3929	5108
YER058W	NC_001137.3	271768	272091	+	324	1491	1530	1068	1124
YER059W	NC_001137.3	272624	273886	+	1263	2698	2707	2591	2493
YER060W	NC_001137.3	274567	276153	+	1587	1563	1866	1625	1691
YER060W-A	NC_001137.3	276572	278164	+	1593	487	551	647	522
YER061C	NC_001137.3	278298	279626	-	1329	1257	1195	1239	1049
YER062C	NC_001137.3	279930	280682	-	753	2372	3042	2297	3237
YER063W	NC_001137.3	281710	282366	+	657	4301	4559	4843	5291
YER064C	NC_001137.3	282705	284222	-	1518	6874	7683	5316	5242
YER065C	NC_001137.3	285241	286914	-	1674	35829	30437	58164	65548
YNCE0015C	NC_001137.3	288443	288524	-	82	53	60	62	34
YER066W	NC_001137.3	290242	290799	+	558	1009	1146	948	1097
YER067W	NC_001137.3	292066	292551	+	486	5547	6668	2994	5811
YER068W	NC_001137.3	293050	294813	+	1764	2652	2781	2851	2306
YER069W	NC_001137.3	295410	298001	+	2592	6058	6934	4536	3736
YER070W	NC_001137.3	298950	301616	+	2667	2824	3553	5343	7716
YER071C	NC_001137.3	301947	302327	-	381	1956	1692	1636	2337
YER072W	NC_001137.3	302806	303195	+	390	2950	3145	2578	3885
YER073W	NC_001137.3	304030	305592	+	1563	3902	4938	2990	3554
YER074W	NC_001137.3;NC_001137.3	306323;306792	306325;307196	+;+	408	11931	13484	13848	23014
YER074W-A	NC_001137.3;NC_001137.3;NC_001137.3	307653;307849;308068	307746;307956;308123	+;+;+	258	6381	5411	4651	6070
YER075C	NC_001137.3	308413	311199	-	2787	1933	1983	2050	1775
YNCE0016C	NC_001137.3	312023	312095	-	73	18	18	12	24
YER076C	NC_001137.3	312590	313498	-	909	1029	1016	808	980
YER077C	NC_001137.3	314534	316600	-	2067	1711	1796	1423	1525
YER078C	NC_001137.3	316807	318342	-	1536	1781	2032	1684	1901
YER078W-A	NC_001137.3	318646	318810	+	165	41	73	50	43
YER079W	NC_001137.3	318920	319552	+	633	4950	5212	5435	3933
YER080W	NC_001137.3	319963	321846	+	1884	6043	6212	6079	7058
YNCE0017W	NC_001137.3	322212	322762	+	551	2761	2374	3465	4634
YER081W	NC_001137.3	322686	324095	+	1410	2725	3121	3325	3600
YER082C	NC_001137.3	324272	325936	-	1665	2770	3070	2806	2792
YER083C	NC_001137.3	326174	327031	-	858	3295	3311	2931	2413
YER084W	NC_001137.3	327065	327451	+	387	2212	2084	2915	2088
YER085C	NC_001137.3	327619	328140	-	522	131	106	163	126
YER086W	NC_001137.3	328477	330207	+	1731	4015	4588	3564	4134
YER087W	NC_001137.3	330576	332306	+	1731	1539	1771	1475	2221
YER087C-B	NC_001137.3	332582	332830	-	249	2610	3207	2426	2931
YER088C	NC_001137.3	333176	335188	-	2013	6241	7522	7240	6197
YER089C	NC_001137.3	335946	337340	-	1395	4538	5418	5113	4812
YER090W	NC_001137.3	337949	339472	+	1524	3057	3310	2874	3038
YER091C	NC_001137.3	339864	342167	-	2304	2873	3952	2097	2430
YER092W	NC_001137.3	342855	343232	+	378	2179	2069	2012	2712
YER093C	NC_001137.3	343320	347612	-	4293	1970	2434	2016	2039
YER093C-A	NC_001137.3;NC_001137.3	347912;348277	348201;348400	-;-	414	2350	2662	1728	2091
YER094C	NC_001137.3	348729	349346	-	618	18054	16597	17952	17913
YER095W	NC_001137.3	349980	351182	+	1203	8912	8355	9338	7070
YER096W	NC_001137.3	351698	353236	+	1539	2952	2402	4360	2782
YNCE0018W	NC_001137.3	354934	355005	+	72	24	22	9	23
YER098W	NC_001137.3	355466	357730	+	2265	1685	2010	1483	1636
YER099C	NC_001137.3	358105	359061	-	957	4234	4430	3513	3123
YER100W	NC_001137.3	359562	360314	+	753	4451	4892	3934	4231
YER101C	NC_001137.3	360502	361794	-	1293	2932	2782	3110	2477
YER102W	NC_001137.3	363100	363702	+	603	5541	6706	6966	12668
YER103W	NC_001137.3	364589	366517	+	1929	28449	34876	21990	20362
YER104W	NC_001137.3	366802	367428	+	627	1230	1086	1073	857
YER105C	NC_001137.3	367838	372013	-	4176	4147	4626	4136	3975
YER106W	NC_001137.3	372326	373234	+	909	423	383	423	451
YER107C	NC_001137.3	373448	374545	-	1098	2013	2004	1827	2018
YER109C	NC_001137.3	375215	377614	-	2400	1012	1263	984	1007
YER110C	NC_001137.3	378762	382103	-	3342	5364	5518	5276	4168
YER111C	NC_001137.3	382595	385876	-	3282	1543	1642	2136	2781
YER112W	NC_001137.3	387232	387795	+	564	4822	4599	4419	4321
YER113C	NC_001137.3	387932	390052	-	2121	1553	1610	1703	2088
YER114C	NC_001137.3	390590	393712	-	3123	3907	3987	4244	3010
YER115C	NC_001137.3	394292	394867	-	576	1655	1625	1622	1639
YER116C	NC_001137.3	395348	396172	-	825	1970	1993	2082	1569
YER117W	NC_001137.3;NC_001137.3	396769;397282	396810;397653	+;+	414	18135	18527	18476	44506
YER118C	NC_001137.3	397952	399055	-	1104	2841	2441	2783	2632
YER119C	NC_001137.3	399496	400842	-	1347	4097	4118	3849	3249
YER120W	NC_001137.3	401135	401869	+	735	8188	8533	8724	7742
YER121W	NC_001137.3	402375	402719	+	345	11432	7925	9733	9662
YER122C	NC_001137.3	402871	404352	-	1482	5970	6456	5285	5042
YER123W	NC_001137.3	404813	406387	+	1575	1814	1789	2140	1740
YER124C	NC_001137.3	407342	409063	-	1722	6104	8199	10890	27349
YER125W	NC_001137.3	410189	412618	+	2430	6645	6984	7550	6155
YER126C	NC_001137.3	413394	414179	-	786	4789	4489	3852	5373
YER127W	NC_001137.3	414481	415554	+	1074	1291	1568	1356	1809
YER128W	NC_001137.3	415859	416470	+	612	1129	1192	1123	1155
YER129W	NC_001137.3	417281	420709	+	3429	2729	3052	2709	2650
YER130C	NC_001137.3	421115	422446	-	1332	1235	1637	1200	1588
YER131W	NC_001137.3	423952	424311	+	360	6622	7753	8696	12978
YNCE0019W	NC_001137.3	424698	424883	+	186	1288	1757	710	1194
YER132C	NC_001137.3	425188	430449	-	5262	1503	1669	1449	1445
YNCE0020C	NC_001137.3	431129	431220	-	92	82	76	47	68
YER133W	NC_001137.3;NC_001137.3	432495;433197	432671;433958	+;+	939	19406	18055	15755	18631
YNCE0021C	NC_001137.3	434541	434612	-	72	13	21	10	26
YNCE0022C	NC_001137.3	435752	435824	-	73	6	0	0	2
YER134C	NC_001137.3	437267	437803	-	537	899	1053	820	1455
YER135C	NC_001137.3	437952	438344	-	393	312	261	232	356
YNCE0023W	NC_001137.3	438700	438773	+	74	4	7	0	0
YER136W	NC_001137.3	439616	440971	+	1356	8477	8783	9028	7303
YER137C	NC_001137.3	441373	441819	-	447	686	697	485	443
YNCE0024W	NC_001137.3	441987	442508	+	522	5133	5405	5585	7062
YNCE0025C	NC_001137.3	443202	443275	-	74	15	16	10	13
YER138C	NC_001137.3	443756	449024	-	5269	6	4	0	6
YER137C-A	NC_001137.3	447702	449024	-	1323	0	0	0	0
YER138W-A	NC_001137.3	449474	449578	+	105	108	128	87	81
YER139C	NC_001137.3	450563	451243	-	681	2263	2051	1904	1914
YER140W	NC_001137.3	451565	453235	+	1671	1225	1305	1130	1198
YER141W	NC_001137.3	453459	454919	+	1461	7552	7866	8096	7766
YER142C	NC_001137.3	455146	456036	-	891	4126	4120	3920	3392
YER143W	NC_001137.3	456319	457605	+	1287	9661	9319	10017	7201
YER144C	NC_001137.3	457806	460223	-	2418	3708	4088	4306	3841
YER145C	NC_001137.3	460526	461740	-	1215	5846	5814	7480	10780
YER145C-A	NC_001137.3	462386	462823	-	438	68	83	71	141
YER146W	NC_001137.3	462585	462866	+	282	317	373	306	506
YER147C	NC_001137.3	462968	464842	-	1875	3168	3140	2423	2453
YER148W	NC_001137.3	465303	466025	+	723	3872	4723	3530	5401
YER149C	NC_001137.3	466208	467470	-	1263	1552	1665	1399	1679
YER150W	NC_001137.3	468370	468816	+	447	17951	20615	10519	8871
YNCE0026W	NC_001137.3	469457	469530	+	74	26	18	17	25
YER151C	NC_001137.3	469686	472424	-	2739	4318	4776	4707	4600
YER152C	NC_001137.3	472657	473988	-	1332	4759	5787	6103	8787
YER153C	NC_001137.3	474041	474805	-	765	689	915	697	511
YER154W	NC_001137.3	475020	476228	+	1209	3113	3910	4198	5569
YER155C	NC_001137.3	476345	482848	-	6504	3600	4208	3780	4810
YER156C	NC_001137.3	483325	484341	-	1017	2737	3165	2298	2462
YER157W	NC_001137.3	484788	487193	+	2406	1222	1197	1016	1536
YNCE0027C	NC_001137.3	487331	487402	-	72	0	0	0	0
YER158C	NC_001137.3	488857	490578	-	1722	3193	3440	2768	3072
YER159C	NC_001137.3	491530	491958	-	429	8322	8924	5875	7770
YNCE0028C	NC_001137.3	492352	492424	-	73	4	4	1	7
YER160C	NC_001137.3	492856	498124	-	5269	24	25	21	31
YER159C-A	NC_001137.3	496802	498124	-	1323	0	0	0	0
YER161C	NC_001137.3	499347	500348	-	1002	3010	3316	3079	2670
YER162C	NC_001137.3	500630	502894	-	2265	3531	3492	3509	2722
YER163C	NC_001137.3	503084	503782	-	699	1557	1702	1075	1451
YER164W	NC_001137.3	505392	509798	+	4407	2751	3412	3209	2663
YER165W	NC_001137.3	510373	512106	+	1734	22805	26227	28137	22559
YER166W	NC_001137.3	512744	517459	+	4716	4810	5513	5183	4547
YER167W	NC_001137.3	518216	520771	+	2556	3835	4006	3699	3182
YER168C	NC_001137.3	521029	522669	-	1641	1762	1559	1509	1585
YER169W	NC_001137.3	523369	525759	+	2391	3841	3662	3850	3009
YER170W	NC_001137.3	525974	526651	+	678	1603	1623	1467	2201
YER171W	NC_001137.3	527082	529418	+	2337	2210	2243	2276	2085
YER172C	NC_001137.3	529530	536021	-	6492	2872	3229	2642	2699
YER173W	NC_001137.3	536300	538279	+	1980	1490	1572	1352	1177
YER174C	NC_001137.3	538434	539168	-	735	4067	3935	3830	4736
YER175C	NC_001137.3	539464	540363	-	900	1576	1523	1344	1165
YER175W-A	NC_001137.3	540650	540814	+	165	79	88	75	60
YER176W	NC_001137.3	541690	545055	+	3366	3078	3718	2853	2591
YER177W	NC_001137.3	545611	546414	+	804	32779	37297	32158	30075
YER178W	NC_001137.3	546817	548079	+	1263	18698	19566	22968	20904
YER179W	NC_001137.3;NC_001137.3	548421;548645	548552;549517	+;+	1005	3010	2549	2302	1153
YER180C	NC_001137.3	549724	550527	-	804	1403	1435	1327	1208
YER180C-A	NC_001137.3	550865	551122	-	258	412	430	308	280
YNCE0029C	NC_001137.3	551285	551358	-	74	7	5	2	5
YER181C	NC_001137.3	551473	551796	-	324	80	73	59	60
YER182W	NC_001137.3	552525	553259	+	735	5672	5796	5360	5203
YER183C	NC_001137.3	553334	553969	-	636	1910	1975	1431	1694
YER184C	NC_001137.3	556296	558680	-	2385	922	1180	929	785
YER185W	NC_001137.3	559454	560365	+	912	763	786	700	716
YER186C	NC_001137.3	561705	562625	-	921	2070	2236	1977	2634
YER187W	NC_001137.3	566230	566655	+	426	1206	1399	970	936
YER188W	NC_001137.3	568040	568759	+	720	1031	1019	778	798
YER188C-A	NC_001137.3	569608	569907	-	300	290	332	245	189
YER189W	NC_001137.3	571155	571523	+	369	60	45	64	40
YER190W	NC_001137.3	571480	576525	+	5046	31	35	33	26
YER190C-B	NC_001137.3	575680	576162	-	483	0	0	0	0
YFL068W	NC_001138.5	53	535	+	483	0	0	0	1
YFL067W	NC_001138.5	836	1363	+	528	731	859	683	557
YFL066C	NC_001138.5	1437	2615	-	1179	255	303	226	196
YFL065C	NC_001138.5	3030	3338	-	309	29	44	16	45
YFL064C	NC_001138.5	3322	3846	-	525	18	32	23	23
YFL062W	NC_001138.5	6426	7565	+	1140	558	619	574	996
YFL061W	NC_001138.5	9545	10222	+	678	267	287	385	334
YFL060C	NC_001138.5	10301	10969	-	669	295	297	257	266
YFL059W	NC_001138.5	11363	12259	+	897	837	1029	699	924
YFL058W	NC_001138.5	12929	13951	+	1023	838	1110	437	452
YFL056C	NC_001138.5	14305	15431	-	1127	1887	2105	1520	1510
YFL055W	NC_001138.5	17004	18680	+	1677	2123	1762	1841	1475
YFL054C	NC_001138.5	20847	22787	-	1941	7772	8579	2575	1990
YFL053W	NC_001138.5	23423	25198	+	1776	1709	3482	303	234
YFL052W	NC_001138.5	28232	29629	+	1398	816	884	462	400
YFL051C	NC_001138.5	30058	30540	-	483	395	493	198	240
YFL050C	NC_001138.5	33272	35848	-	2577	1314	1492	1029	992
YFL049W	NC_001138.5	36803	38674	+	1872	2778	2826	2683	2812
YFL048C	NC_001138.5	38843	40180	-	1338	4946	4625	4805	4380
YFL047W	NC_001138.5	40421	42565	+	2145	1998	2220	1928	2226
YFL046W	NC_001138.5	42815	43438	+	624	4015	3349	2996	3784
YFL045C	NC_001138.5	43628	44392	-	765	7824	8703	8655	11060
YFL044C	NC_001138.5	44655	45560	-	906	7014	7122	7407	5273
YFL042C	NC_001138.5	45720	47744	-	2025	5599	5663	5049	3343
YFL041W-A	NC_001138.5	48734	48925	+	192	586	514	322	259
YFL041W	NC_001138.5	49139	51007	+	1869	7110	6935	6384	5392
YFL040W	NC_001138.5	51350	52972	+	1623	547	557	472	498
YFL039C	NC_001138.5;NC_001138.5	53260;54687	54377;54696	-;-	1128	39094	48231	32181	30094
YFL038C	NC_001138.5	55366	55986	-	621	16607	16161	18057	17994
YFL037W	NC_001138.5	56336	57709	+	1374	5667	6170	7110	6559
YNCF0001C	NC_001138.5	57815	58521	-	707	143	79	128	53
YFL036W	NC_001138.5	58782	62837	+	4056	4857	5376	4806	5407
YFL034C-B	NC_001138.5;NC_001138.5	63016;63974	63859;63993	-;-	864	1755	1859	1523	1614
YFL034C-A	NC_001138.5;NC_001138.5	64243;64921	64599;64932	-;-	369	3324	3620	3957	6564
YFL034W	NC_001138.5	65477	68698	+	3222	2432	2537	2459	2401
YFL033C	NC_001138.5	69115	74427	-	5313	3129	3416	2972	2505
YFL031W	NC_001138.5;NC_001138.5	75179;76092	75839;76147	+;+	717	13337	23126	8496	18278
YFL030W	NC_001138.5	76831	77988	+	1158	10589	11498	12914	18145
